manga_id,score,user,weight
4632,9,Dismalglint,0
4632,10,FouaD-punpun,0
4632,10,dott_1,0
4632,10,hymnsofdeath,0
4632,10,matinoxnotte,0
70345,9,Hippe0,210
70345,9,sheroze,101
70345,10,Raw_Meat,74
70345,9,ForgotMyRice,53
70345,10,21slav,9
70345,9,Gazz,8
70345,9,miwasan4,6
70345,10,Mahir_Rahman,3
70345,9,saradominsm,4
70345,9,iMysteriousAura,3
70345,8,Selocan,4
70345,10,Hierze,3
656,10,Tanequil,364
656,10,bigjig,238
656,10,Dietrologia,60
656,10,ChiefWarlock,54
656,6,Neiru2013,49
656,7,Foolness,24
656,10,Chinaz,9
656,10,Daril,8
656,10,Ujio,13
656,10,kansas778,11
656,7,danisoriarev,11
656,10,Finite__,3
656,10,Daddy-O,3
656,9,yaya-d,8
656,10,critic111,7
656,10,CivilianHero,4
656,10,zawardoooo,2
656,10,Gangankuroi-sama,6
656,10,Vandareer,2
656,9,leoniveli,2
656,10,Penterius,1
656,10,Valkata,2
656,10,shacklesburst,1
656,8,Misakitaro,1
656,10,Tylmomendog,1
16765,9,tcubed,138
16765,10,HaXXspetten,82
16765,9,Kvshi,78
16765,9,Nervin,46
16765,10,Stromming,23
16765,5,ChouEritto,7
16765,9,zFoxx,19
16765,10,korosensei-san,15
16765,6,Yakkululz,14
16765,10,BDProductions34,6
16765,10,Senryakku,5
16765,9,Dude_Perfect,10
16765,10,AnjaliTOT,5
16765,10,FieldMarshal,6
16765,9,arielphf,5
16765,10,jowb63,5
16765,10,violentroll,2
16765,9,reimacram,4
16765,10,MScientist0,1
16765,9,Louiscypher666,1
16765,9,FatNinja,1
16765,8,leonebula,1
16765,10,anoncology,0
16765,10,MadOne1,0
51,10,kuglefang,177
51,10,marian11,81
51,10,Klad,43
51,8,Beobachter,43
51,10,Sirch456,12
51,10,whoiam_me,12
51,10,Gwilthyunman,12
51,5,thizlas,4
51,10,gnulab,11
51,9,invinsiblstanley,10
51,7,Danno,8
51,10,AidoWand,7
51,9,Chinaz,2
51,9,Kosourbites,3
51,7,I_Love_Pikachu,2
51,10,andreeaaaam,1
51,10,Dunkjoe,2
51,10,MelonAuk,0
51,9,blushinggeek,0
51,10,victoriamaraui,0
3,9,daimira,232
3,10,MagEarwhig,198
3,10,Master10K,97
3,10,meindz,57
3,6,Sheepdude,54
3,7,TargaryenX,35
3,10,BarnacleBlister,20
3,10,Nekkro,19
3,10,Scieska,16
3,9,DrBoondigga,15
3,9,VergilLeonidas,12
3,10,Akabawi,9
3,8,miniclip134,9
3,10,Fummiga,9
3,9,BorisSoad,8
3,7,butekkusu,6
3,6,Gundroog,4
3,9,bunny1ov3r,6
3,10,shahzebxd,6
3,10,Stepalom,2
3,9,Swarnadeep,3
3,10,AluminumMan,5
3,9,Feech,4
3,10,scoldrozy,4
3,8,SpinachGreen,1
3,8,TheJaceX,1
3,10,sam312,3
3,9,Toast-Junkie,3
3,8,extremeaxe5,1
3,9,Dielveis,2
3,7,anaract,0
3,10,Valkyros78,0
3,10,archimagik,0
3,6,ParadoxDelta,0
3,8,ATOM24,0
91941,10,LucaxCubix,86
91941,10,Xenocrisi,68
91941,9,CaptainCrackpot,113
91941,10,Wonderwhew,59
91941,5,Armadillidiidae,28
91941,10,Salieri_Hiyajo,19
91941,10,DandeLoli,19
91941,1,juneboba,16
91941,10,WormyMaster,21
91941,9,PurpleRose328,12
91941,6,PowerMetal,6
91941,10,Nightmare_Eyes,3
91941,8,Yoppi,2
91941,6,Ibrahim_Abid,1
91941,10,Nami955,0
14893,9,Karhu,92
14893,9,Ravell,44
14893,10,Jamesml9411,42
14893,3,Valefor,13
40171,9,JetNoir,184
40171,9,lowatre,128
