manga_id,manga_name,manga_rank
95243,Re:Zero kara Hajimeru Isekai Seikatsu Ex,294
98436,Youjo Senki,295
103244,Gekijouban Sword Art Online: Ordinal Scale,296
108495,NieR:Automata,297
869,Konjiki no Gash!!,298
1802,Cat Street,299
9738,Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,300
43913,Feng Shen Ji,301
100035,Tongari Boushi no Atelier,302
107548,Steins;Gate 0,303
348,Genshiken,304
3082,Nichijou,305
17910,Yomawari Sensei,306
21040,Comic Showa-shi,307
25096,Gin no Saji,308
39883,Ansatsu Kyoushitsu,309
45947,Nukozuke!,310
49835,Gochuumon wa Usagi desu ka?,311
57035,"Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe",312
98380,Bungou Stray Dogs,313
24,D.Gray-man,314
994,Ookiku Furikabutte,315
14978,Saiyuuki Reload Blast,316
18161,Katanagatari,317
26144,Danshi Koukousei no Nichijou,318
30315,Last Game,319
37705,Cheese in the Trap Season 1,320
67401,Fukigen na Mononokean,321
74341,Steins;Gate: Heiji Kyokusen no Epigraph,322
85781,Dungeon Meshi,323
90609,Hengoku no Schwester,324
99386,Sword Art Online: Project Alicization,325
109909,Nettaigyo wa Yuki ni Kogareru,326
373,Meteor Methuselah,327
1630,JoJo no Kimyou na Bouken Part 2: Sentou Chuuryuu,328
3715,The One,329
3731,Solanin,330
8144,Sora no Otoshimono,331
8557,Kimi to Boku.,332
9296,Seven Days,333
18570,Ultra Heaven,334
21784,Dai Densetsu no Yuusha no Densetsu,335
33297,Ao Haru Ride,336
107948,Hitori Koukan Nikki,337
29,Paradise Kiss,338
573,Wild Adapter,339
1258,Higurashi no Naku Koro ni: Watanagashi-hen,340
3378,Kimi ni Todoke,341
3571,Ten: Tenhou-doori no Kaidanji,342
4945,Ginga Nagareboshi Gin,343
35733,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,344
84559,Nekota no Koto ga Kininatte Shikatanai.,345
100051,Kimi no Na wa. Another Side: Earthbound,346
103268,No Game No Life: Practical War Game,347
735,Black Lagoon,348
1061,Detective Conan,349
10892,Full Metal Panic!,350
19709,Gabai: Saga no Gabai Baachan,351
24294,Ao Haru Ride,352
27029,Ouran Koukou Host Club University Special,353
43975,My Young Cat and My Old Dog,354
56743,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,355
89768,Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!,356
96044,Taishou Otome Otogibanashi,357
98374,Cardcaptor Sakura: Clear Card-hen,358
103989,Kaichou wa Maid-sama!: Marriage,359
792,City Hunter,360
2924,Historie,361
7010,NG Life,362
8652,Zankoku na Kami ga Shihai suru,363
9699,Doukyuusei,364
11593,Yuru Yuri,365
13271,Saraiya Goyou,366
13702,Tonari no Kaibutsu-kun,367
15805,Tasogare Otome x Amnesia,368
18074,Getter Robo Saga,369
26178,Donten ni Warau,370
36131,Fate/kaleid liner Prisma☆Illya 3rei!!,371
36719,Hataraku Maou-sama!,372
59961,Aoharu x Kikanjuu,373
61579,Tobaku Datenroku Kaiji: One Poker-hen,374
70399,Seishun Buta Yarou Series,375
70921,Date A Live: Encore,376
92,Bishoujo Senshi Sailor Moon,377
635,God Child,378
936,Homunculus,379
1257,Higurashi no Naku Koro ni: Onikakushi-hen,380
1659,Five Star Stories,381
3097,Futatsu no Spica,382
4625,Kamigami no Itadaki,383
11652,Kuroko no Basket,384
14022,3-nen Z-gumi Ginpachi-sensei,385
15486,Decoration Disorder Disconnection,386
16144,Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,387
20242,Binbougami ga!,388
37523,Date A Live,389
46010,xxxHOLiC: Rei,390
77463,Higurashi no Naku Koro ni - Dai 2-wa: Watanagashi-hen,391
80245,Hetalia World☆Stars,392
94376,Yuru Camp△,393
103237,Wind Breaker,394
103722,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? Ex,395
1076,Vagrant Soldier Ares,396
1110,Shiawase Kissa 3-choume,397
14531,GTO: Shonan 14 Days,398
26769,Bokura wa Minna Kawai-sou,399
30051,Sakurasou no Pet na Kanojo,400
69399,K: Lost Small World,401
103727,Re:Creators,402
655,Boku no Chikyuu wo Mamotte,403
704,Trigun Maximum,404
729,Emma,405
3102,Girl Friends,406
5490,Seikai no Monshou,407
7776,Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,408
11039,Seikai no Senki,409
11643,Kattobi Itto,410
12070,Moribito Series,411
21467,Hoshi Mamoru Inu,412
34841,Byousoku 5 Centimeter,413
41865,Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori,414
42867,Kagerou Daze,415
89087,Wotaku ni Koi wa Muzukashii,416
90870,Orihara Izaya to Series,417
92299,Berserk: Shinen no Kami 2,418
112922,Gokushufudou,419
53,Yuu☆Yuu☆Hakusho,420
393,Kindaichi Shounen no Jikenbo: File Series,421
445,Shonan Junai Gumi!,422
705,Shingetsutan Tsukihime,423
1101,Akumetsu,424
1313,Gosick,425
4453,Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa,426
5775,Yamamoto Zenjirou to Moushimasu,427
7749,Oresama Teacher,428
8070,Sengoku Youko,429
17152,One Piece: Strong World,430
24339,Ouran Koukou Host Club Short Special,431
27967,Pandora Hearts: Caucus Race,432
41697,Ghost Hunt: Akumu no Sumu Ie,433
42569,Medaka Box Gaiden: Good Loser Kumagawa,434
47825,Steins;Gate: Aishin Meizu no Babel,435
58563,Innocent,436
67615,Tate no Yuusha no Nariagari,437
77465,Higurashi no Naku Koro ni - Dai 3-wa: Tatarigoroshi-hen,438
85437,Lord El-Melloi II-sei no Jikenbo,439
89960,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero,440
90334,Queen's Quality,441
102165,Tokidoki,442
103851,5-toubun no Hanayome,443
106602,Bleach: Can't Fear Your Own World,444
338,Chrno Crusade,445
463,NHK ni Youkoso!,446
591,Koukou Debut,447
929,Fushigi Yuugi: Genbu Kaiden,448
1320,The Ravages of Time,449
1365,Kaze to Ki no Uta,450
1695,Adolf ni Tsugu,451
3403,Rosario to Vampire: Season II,452
10010,Beelzebub,453
10884,Diamond no Ace,454
11914,Adekan,455
23571,Sunny,456
41847,Soredemo Sekai wa Utsukushii,457
42579,Kubera,458
47030,K Side:Red,459
50117,Kyoukai no Kanata,460
56923,Ame no Hi no Iris,461
76965,Higurashi no Naku Koro ni - Dai 1-wa: Onikakushi-hen,462
670,Bokurano,463
674,Majin Tantei Nougami Neuro,464
688,Maison Ikkoku,465
3282,Hotarubi no Mori e,466
5651,Crows,467
8300,Baby Steps,468
10000,"""Bungaku Shoujo"" Series",469
13290,Ningen Shikkaku,470
41435,K: Memory of Red,471
42531,Senyuu.,472
44523,Touhou Suzunaan: Forbidden Scrollery.,473
77637,Helck,474
88991,Skill of Lure,475
102334,Infinite Dendrogram,476
103169,Douluo Dalu II: Jueshi Tangmen,477
17,Kareshi Kanojo no Jijou,478
544,Shigeshoushi,479
661,Sayonara Zetsubou Sensei,480
872,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,481
4081,Princess,482
4423,Oooku,483
6889,Moon: Subaru Solitude Standing,484
10179,Chichi no Koyomi,485
10349,Hanbun no Tsuki ga Noboru Sora,486
20777,Ouran Koukou Host Club,487
26704,Shouwa Genroku Rakugo Shinjuu,488
44319,Mahou Shoujo Madoka★Magica: The Different Story,489
44485,Nanatsu no Taizai,490
46024,Log Horizon,491
69073,Durarara!! SH,492
74847,Tokyo Ghoul,493
78537,Karakai Jouzu no Takagi-san,494
95109,7th,495
105430,Senryuu Shoujo,496
111996,The God of High School,497
112589,Tonikaku Kawaii,498
47,Katekyo Hitman Reborn!,499
339,Sakigake!! Cromartie Koukou,500
915,Rookies,501
1014,H2,502
5029,Kingyosou,503
6892,Toshokan Sensou,504
8742,Ashita no Ousama,505
9114,D.Gray-man: Reverse,506
10330,Oboreru Knife,507
19980,Koi dano Ai dano,508
21479,Sword Art Online,509
23419,Byousoku 5 Centimeter,510
23796,G-senjou no Maou Comic Anthology,511
27861,Mahou Shoujo Madoka★Magica,512
61097,Baraou no Souretsu,513
87375,High School DxD DX,514
98379,Bungou Stray Dogs Wan!,515
103562,"Mairimashita, Senpai",516
103925,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,517
103942,Ao no Flag,518
107645,Code Geass: Hangyaku no Lelouch R2,519
564,Gantz,520
633,Beauty Pop,521
770,Gunnm: Last Order,522
928,Pocket Monsters Special,523
988,Shijou Saikyou no Deshi Kenichi,524
1092,Gokusen,525
1260,Higurashi no Naku Koro ni: Tatarigoroshi-hen,526
4623,Hyakki Yakoushou,527
7630,Toshokan Sensou: Love & War,528
24562,Jinrui wa Suitai Shimashita,529
24705,Aku no Hana,530
25916,Saint Seiya: The Lost Canvas - Meiou Shinwa Gaiden,531
47957,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,532
58007,Shingeki no Kyojin: Kuinaki Sentaku,533
80841,Hakumei to Mikochi,534
93972,Totsukuni no Shoujo,535
101396,Sasaki to Miyano,536
106779,Hajimari no Mahoutsukai,537
20,Hikaru no Go,538
648,Dogs: Bullets & Carnage,539
1297,Iryuu: Team Medical Dragon,540
3008,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,541
3076,Vassalord.,542
3868,Shigurui,543
11329,Mudazumo naki Kaikaku,544
12917,Shaman King Kanzenban,545
17517,Steins;Gate,546
20554,Kocchi Muite! Miiko,547
25250,Voynich Hotel,548
63919,Narcissu,549
72025,Kengan Ashura,550
95311,Goblin Slayer,551
107566,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,552
117351,Nande Ikiteru ka Wakaranai Hito Izumi Sumi 25-sai,553
442,Tekkon Kinkreet,554
595,Id,555
4011,New York New York,556
4018,Top Secret,557
4964,Eien no With,558
24903,Gangsta.,559
36933,Ore Monogatari!!,560
40253,The Pale Horse,561
62723,Noragami: Shuuishuu,562
62951,Gekijouban Steins;Gate: Fuka Ryouiki no Déjà vu,563
70801,Dead Dead Demon's Dededededestruction,564
72323,White Album 2,565
79719,Kingdom Hearts 3D: Dream Drop Distance,566
89553,Usemono Yado,567
27,X,568
1184,Rough,569
3009,JoJo no Kimyou na Bouken Part 6: Stone Ocean,570
5310,One Thousand and One Nights,571
7378,Strobe Edge,572
9546,Capeta,573
11243,Kono Sekai no Katasumi ni,574
15104,Kingdom Hearts: 358/2 Days,575
24457,Mahou Shoujo Madoka★Magica,576
34553,Seireitsukai no Blade Dance,577
49567,Saenai Heroine no Sodatekata,578
62671,Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari,579
63535,Amaama to Inazuma,580
73451,K: Lost Small World,581
73551,Ghost Hunt: Akumu no Sumu Ie,582
77891,The Friendly Winter,583
80469,Donten ni Warau Gaiden,584
86769,Kusuriya no Hitorigoto,585
87813,Takane to Hana,586
101400,Hataraku Maou-sama! 0,587
105108,"(Kono Sekai wa Mou Ore ga Sukutte Tomi to Kenryoku wo Te ni Iretashi, Onna Kishi ya Onna Maou to Shiro de Tanoshiku Kurashiteru kara, Ore Igai no Yuusha wa) Mou Isekai ni Konaide Kudasai.",588
106755,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",589
109608,Goblin Slayer Gaiden: Year One,590
112370,Spirit Fingers,591
112483,Super Secret,592
112245,Like a Butterfly,593
514,Saver,594
557,Trinity Blood: Rage Against the Moons,595
1021,The Summit,596
1023,Koukaku Kidoutai: The Ghost in the Shell,597
1031,Bokura ga Ita,598
1567,Haikara-san ga Tooru,599
4207,Boku no Hatsukoi wo Kimi ni Sasagu,600
14064,½ Prince,601
16166,Ruler of the Land,602
23627,Yowamushi Pedal,603
25245,Zoku Hoshi Mamoru Inu,604
47048,Occultic;Nine,605
48025,Magi: Sinbad no Bouken,606
50217,Kamisama ga Uso wo Tsuku.,607
52277,Sword Art Online: Progressive,608
80375,Otouto no Otto,609
86310,Imouto sae Ireba Ii.,610
92149,Tomo-chan wa Onnanoko!,611
97200,Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Kamen no Akuma ni Soudan wo!,612
99391,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",613
133,Tokyo Babylon,614
392,Kimi wa Pet,615
665,MeruPuri: Märchen☆Prince,616
908,Soul Eater,617
976,Vampire Juujikai,618
1250,Deep Love: Ayu no Monogatari,619
1683,Kubikiri Asa,620
1735,Detroit Metal City,621
3074,Shakugan no Shana,622
3633,Beast Master,623
4181,Shimotsuma Monogatari,624
5820,Sumire♡16-sai!!,625
14269,Akuryou Series,626
14633,Seiyuu Ka!,627
22699,Black Lagoon,628
23032,Kami nomi zo Shiru Sekai,629
26006,Kingdom Hearts: Birth by Sleep,630
26441,"Maoyuu Maou Yuusha: 'Kono Ware no Mono to Nare, Yuusha yo' 'Kotowaru!'",631
36615,Hori-san to Miyamura-kun,632
62795,Tomodachi Game,633
70589,GTO: Paradise Lost,634
79169,Shinigami wo Tabeta Shoujo,635
90197,Yagiza no Yuujin,636
92541,Sora no Otoshimono,637
101126,Plastic Memories: Heartfelt Thanks,638
102860,Yondome wa Iya na Shizokusei Majutsushi,639
107884,Genjitsu Shugi Yuusha no Oukoku Saikenki,640
108023,Kimi no Na wa. Another Side: Earthbound,641
111278,Unlucky Mansion,642
8,Full Moon wo Sagashite,643
366,Hoshi no Koe,644
462,Shin Petshop of Horrors,645
649,Gunslinger Girl,646
1388,Candy Candy,647
